source_key	source_label	year	C1	C2	C3	C4	C5	C6	source_url	boundary
strohmeier2015security	Strohmeier et al. ADS-B security survey	2015	partial	no	partial	no	no	no	https://doi.org/10.1109/COMST.2014.2365951	Security motivation and countermeasure taxonomy, not CAT-AD-style trajectory-detector adversarial training or PV-ASR.
schaefer2014opensky	Schaefer et al. OpenSky	2014	partial	no	partial	no	no	no	https://doi.org/10.1109/IPSN.2014.6846743	ADS-B research data infrastructure, not a targeted evasion robustness method.
jansen2021trust	Jansen et al. wireless witnessing	2021	partial	partial	partial	no	no	no	https://www.ndss-symposium.org/ndss-paper/trust-the-crowd-wireless-witnessing-to-detect-attacks-on-ads-b-based-air-traffic-surveillance/	Top-tier ADS-B attack detection by distributed receiver witnessing, not trajectory-detector adversarial training with exact PV-ASR.
fried2021autoencoders	Fried and Last ADS-B autoencoders	2021	yes	no	partial	no	no	no	https://doi.org/10.1016/j.cose.2021.102405	ADS-B anomaly detection, not targeted physically constrained evasion training.
luo2021vaesvdd	Luo et al. VAE-SVDD	2021	yes	no	partial	no	no	no	https://doi.org/10.1016/j.cose.2021.102213	ADS-B anomaly detection, not CAT-AD's targeted physical evasion protocol.
chevrot2022cae	Chevrot et al. contextual autoencoder	2022	partial	no	partial	no	no	no	https://doi.org/10.1016/j.cose.2022.102652	Air-transport time-series anomaly detection, not physically constrained adversarial training or PV-ASR.
pirolley2026lowaltitude	Pirolley et al. realistic low-altitude ADS-B attack detection	2026	yes	partial	partial	no	no	no	https://doi.org/10.1016/j.ast.2025.111199	Four realistic low-altitude ADS-B attack scenarios and specialized detectors, not targeted physically constrained adversarial training with exact PV-ASR.
yue2026ocren	Yue et al. OCREN ADS-B attack detection and recovery	2026	partial	partial	partial	no	no	no	https://doi.org/10.1016/j.eswa.2025.130781	Flight-plan restriction-domain detection and recovery, not CAT-AD's targeted adversarial-training and exact PV-ASR protocol.
cevik2025adsbanomalydetection	Cevik and Akleylek ADS-B anomaly detection system	2025	yes	partial	partial	no	no	no	https://doi.org/10.1016/j.iot.2024.101416	Attack-vector and ML-model detection study, not the full targeted physically constrained adversarial-training and PV-ASR protocol.
ahmed2025adsbanomalous	Ahmed et al. ADS-B anomalous-message and attack-type detection	2025	partial	partial	partial	no	no	no	https://doi.org/10.7717/peerj-cs.2886	Attack-type detection challenge reference, not consistency-regularized physical adversarial training with exact PV-ASR.
ahmed2026lightweightadsb	Ahmed et al. lightweight ADS-B IDS	2026	partial	partial	partial	no	no	no	https://doi.org/10.1016/j.array.2026.101012	Lightweight IDS challenge reference, not CAT-AD's physically constrained targeted training protocol.
ngamboe2025adsbids	Ngamboe et al. xLSTM Transformer IDS	2025	partial	no	partial	no	no	no	https://arxiv.org/abs/2510.08333	IDS architecture challenge reference, not targeted physical evasion robustness.
zhong2026rdpaadsb	Zhong et al. RDPA adversarial-perturbation detection	2026	yes	partial	partial	no	no	no	https://doi.org/10.1016/j.cja.2026.104083	Adversarial perturbation-pattern detector for ADS-B trajectories, not adversarial training with exact per-sample PV-ASR and the CAT-AD publication gate.
zhao2026imdmpc	Zhao et al. IMDM-PC physics-consistent robust ADS-B trajectory anomaly detection	2026	yes	partial	partial	no	no	no	https://doi.org/10.1016/j.comnet.2026.112476	Physics-consistent robust ADS-B trajectory anomaly detection under perturbations, but not targeted anomalous-to-normal adversarial training with exact per-sample PV-ASR and the CAT-AD publication gate.
khan2025surveyadsbsecurity	Khan et al. ADS-B security survey	2025	partial	partial	partial	no	no	no	https://doi.org/10.1109/COMST.2024.3513213	Survey challenge reference, not an implemented CAT-AD-style training/evaluation method.
zhang2025adsbdatasecurity	Zhang et al. ADS-B data security	2025	partial	no	partial	no	no	no	https://doi.org/10.1145/3742763.3760698	Data-security analysis, not physically constrained adversarial training or PV-ASR.
shi2026securityadsbrid	Shi et al. ADS-B and Remote ID security survey	2026	partial	partial	partial	no	no	no	https://doi.org/10.3390/s26020634	ADS-B/RID survey challenge reference, not an implemented CAT-AD-style robustness method.
ahmed2026secureairtraffic	Ahmed et al. secure air-traffic surveillance survey	2026	partial	partial	partial	no	no	no	https://doi.org/10.1109/OJCS.2026.3651384	Threat taxonomy and survey challenge reference, not a targeted physical evasion training/evaluation protocol.
luo2024adversarialadsb	Luo et al. ADS-B adversarial attacks	2024	yes	yes	no	no	partial	no	https://doi.org/10.3390/s24113584	Closest ADS-B adversarial prior art; it establishes attacks and adversarial-training baselines but not physical constraints or exact PV-ASR.
wu2026reviewtrajectory	Wu et al. trajectory anomaly detection review	2026	yes	no	partial	no	no	no	https://doi.org/10.3390/aerospace13030209	Trajectory anomaly-detection review motivating operational constraints, not adversarial robustness protocol design.
goodfellow2015explaining	Goodfellow et al. adversarial examples	2015	no	yes	no	no	partial	partial	https://arxiv.org/abs/1412.6572	General adversarial examples, not ADS-B physical trajectory robustness.
madry2018towards	Madry et al. PGD adversarial training	2018	no	yes	no	no	partial	partial	https://openreview.net/forum?id=JcRbuE7FCJ	General robust optimization, not ADS-B trajectory-specific PV-ASR.
carlini2017towards	Carlini and Wagner attacks	2017	no	yes	no	no	no	partial	https://doi.org/10.1109/SP.2017.49	General strong attack evaluation, not ADS-B physical constraints.
athalye2018obfuscated	Athalye et al. obfuscated gradients	2018	no	yes	no	no	no	partial	https://proceedings.mlr.press/v80/athalye18a.html	General robustness-evaluation caution, not an ADS-B trajectory method.
catad_repository	CAT-AD in this repository	2026	yes	yes	yes	yes	yes	yes	./paper_lncs/main.tex	Joint protocol implemented and verified locally by code, tests, multi-seed benchmark artifacts, and submission gates.
