control_stratum,sampling_priority,loss,task_id,split,model,attack_family,K,sample_id,restart,step,p0_archived,p1_archived,A_sum_float64,p0_fp32,p1_fp32,B_sum_float32,B_sum_float64,abs_A_sum_error,abs_B32_sum_error,abs_B64_sum_error,original_checker_result,finite,in_range,class_alignment_valid,serialization_roundtrip_status,raw_artifact_identity_status,representation_C_status,classification,row_ordinal
checker_failed,1797560943637,cw,9be90e5f5de357a6d108ca9ec5123a562f5041bdc1dafd85ec80c9ceb6162f0d,46,CAT-AD,phys_projection_pgd,50,4b007089e55a10a2a9668e47c8eb39cb7c215e462e2405afc1471f295040b171,3,29,0.0972461179,0.902753949,1.0000000669,0.09724611788988113,0.9027539491653442,1.0000001192092896,1.0000000670552254,6.68999999842157e-08,1.1920928955078125e-07,6.705522537231445e-08,True,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,P1_FLOAT32_SOFTMAX_SUM_REPRESENTATION_EFFECT+P3_CHECKER_SPECIFICATION_MISMATCH,99901329
checker_failed,1799170450172,cw,44e299bfb0a84db1533990fa4d938de89c8b330200960db1466271200dc443c4,42,CAT-AD,phys_projection_pgd,50,4b863385276ba9f0e687fdd1f3b74b2ae8d4b8131acd3974e425b872a8fb6ac5,4,1,1.65192887e-05,0.99998343,0.9999999492887,1.651928869250696e-05,0.9999834299087524,0.9999999403953552,0.999999949197445,5.0711300048078556e-08,5.960464477539063e-08,5.0802555051632226e-08,True,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,P1_FLOAT32_SOFTMAX_SUM_REPRESENTATION_EFFECT+P3_CHECKER_SPECIFICATION_MISMATCH,59283860
checker_failed,2054140071332,cw,baff82a80c3044b6b1ae7eb753d5269c6e8207ef971e5f232b3c7e672755341a,43,BiLSTM-ERM,phys_penalty_pgd,50,3f56503af289c9a9bfeebb6ce8fcbc61fc641412f75c5a970452a4b1b928b0e8,4,38,0.519323528,0.480676502,1.00000003,0.5193235278129578,0.4806765019893646,1.0,1.0000000298023224,3.0000000039720476e-08,0.0,2.9802322387695312e-08,True,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,P1_FLOAT32_SOFTMAX_SUM_REPRESENTATION_EFFECT+P3_CHECKER_SPECIFICATION_MISMATCH,66062847
checker_failed,2073465787333,cw,013fc5d922d24f643b0d41a427e0504b36fd3e14aeca2c414191c1de3d9abfe6,46,BiLSTM-ERM,phys_hybrid_pgd,20,43b3b6c4316bea28c2dc0e7759d3eacdb3322f373009bb98ae0be921ff396f70,4,13,0.667149842,0.332850128,0.9999999700000001,0.6671498417854309,0.3328501284122467,1.0,0.9999999701976776,2.9999999928698173e-08,0.0,2.9802322387695312e-08,True,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,P1_FLOAT32_SOFTMAX_SUM_REPRESENTATION_EFFECT+P3_CHECKER_SPECIFICATION_MISMATCH,97963261
checker_failed,2467892279367,cw,b084e4fe600a54fcfc76dfac1f82617d83bf059c43ed6eb8c4770f790b8834db,42,BiLSTM-ERM,phys_projection_pgd,50,1ccc00e025d44ba57fd6967e0ff72f431657c1aed944afa25e459c8558eeef05,1,5,0.104691736,0.895308316,1.000000052,0.10469173640012741,0.8953083157539368,1.0,1.0000000521540642,5.20000000836518e-08,0.0,5.21540641784668e-08,True,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,P1_FLOAT32_SOFTMAX_SUM_REPRESENTATION_EFFECT+P3_CHECKER_SPECIFICATION_MISMATCH,53298395
checker_failed,2899273467061,cw,fc3adaca81a0a1d853f53fb5ac0fdb440c80e836b8577344f9798306c7b2a5cd,44,CAT-AD,phys_hybrid_pgd,50,2ed15af7c1dc8906efba585d3ca75cd4152c0dfa45e4eb961382b3112b7a87d2,2,13,0.000200758441,0.999799311,1.000000069441,0.0002007584407692775,0.9997993111610413,1.0000001192092896,1.0000000696018105,6.944100006123222e-08,1.1920928955078125e-07,6.960181053727865e-08,True,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,P1_FLOAT32_SOFTMAX_SUM_REPRESENTATION_EFFECT+P3_CHECKER_SPECIFICATION_MISMATCH,85751471
checker_failed,3440247224400,cw,f35aca54dda253ac8b93963c0cc55c2391296847ac1bbc69de8dda435581cf3a,42,CAT-AD,phys_penalty_pgd,50,8fe02cca0b9d4c541793188a9bec0dcccd8048e9be6ce1e61337ed9648441e93,0,12,0.00104409736,0.998955846,0.99999994336,0.0010440973564982414,0.9989558458328247,0.9999999403953552,0.999999943189323,5.664000002347791e-08,5.960464477539063e-08,5.681067705154419e-08,True,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,P1_FLOAT32_SOFTMAX_SUM_REPRESENTATION_EFFECT+P3_CHECKER_SPECIFICATION_MISMATCH,60760217
checker_failed,3786355573089,cw,da34597561bf285f003b6d7fcfc5845b39cdb1f153a3b7a452ecfd5c72b5e232,44,CAT-AD,norm_pgd,50,ff46f758e45052e44fc37dad4f4d6fb60ec60e9ae170e8a8e17e643506621234,3,29,0.000146952181,0.999853015,0.999999967181,0.0001469521812396124,0.9998530149459839,0.9999999403953552,0.9999999671272235,3.2818999962103135e-08,5.960464477539063e-08,3.287277650088072e-08,True,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,P1_FLOAT32_SOFTMAX_SUM_REPRESENTATION_EFFECT+P3_CHECKER_SPECIFICATION_MISMATCH,81568103
checker_failed,4596395771445,cw,8f47d1ee771e407e0669e978fe2ba78da0dc4e56df6350ea839e0285955d6eed,42,CAT-AD,phys_hybrid_pgd,50,affe9d64ca4582fb33029537c39cc36afb6d6377c6f931f69d332f57000f09d4,4,32,0.0107827727,0.989217281,1.0000000537,0.010782772675156593,0.9892172813415527,1.0,1.0000000540167093,5.3700000002265824e-08,0.0,5.4016709327697754e-08,True,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,P1_FLOAT32_SOFTMAX_SUM_REPRESENTATION_EFFECT+P3_CHECKER_SPECIFICATION_MISMATCH,61797087
checker_failed,5656035783346,cw,b5112c1241662fa848dfd7367cc974d883077aa5e48bb67075f8088e621d5a7d,43,BiLSTM-ERM,phys_hybrid_pgd,20,aa1e7f2804ad6589d63c59724731f45540a7b51c26e5abd7c93c495ada8b527f,4,4,0.627813399,0.372186542,0.999999941,0.6278133988380432,0.372186541557312,0.9999999403953552,0.9999999403953552,5.899999999670058e-08,5.960464477539063e-08,5.960464477539063e-08,True,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,P1_FLOAT32_SOFTMAX_SUM_REPRESENTATION_EFFECT+P3_CHECKER_SPECIFICATION_MISMATCH,67442446
