group_type,group_value,loss,task_id,model,attack_family,K,split,total_rows,failure_rows,failure_rate,finite_rows,in_range_rows,max_abs_sum_error,median_abs_sum_error,p95_abs_sum_error,p99_abs_sum_error,p99_9_abs_sum_error,nan_count,positive_inf_count,negative_inf_count,p0_lt_zero_count,p1_lt_zero_count,p0_gt_one_count,p1_gt_one_count,class_alignment_anomalies,roundtrip_exact_rows,roundtrip_mismatch_rows,B32_exact_one_rows,B32_nonunit_rows,B64_checker_failure_rows,serialization_delta_nonzero_rows,finite_precision_explained_failure_rows,serialization_explained_failure_rows,checker_specification_failure_rows,unexplained_failure_rows,true_raw_inconsistency_failure_rows,raw_probability_inconsistency_rows,representation_C_status,quantile_method
all,ALL,,,,,,,101761920,65934165,0.6479257172034489,101761920,101761920,8.968999998248961e-08,2.9999999928698173e-08,6.329700008578243e-08,7.694000014879521e-08,8.526600003833096e-08,0,0,0,0,0,0,0,0,101761920,0,79420386,22341534,65967643,88825994,65847578,86587,65934165,0,0,0,NOT AVAILABLE,exact_weighted_empirical_linear
loss,cw,cw,,,,,,50880960,33181463,0.6521390909291019,50880960,50880960,8.968999998248961e-08,2.9999999928698173e-08,6.000000007944095e-08,7.513999999986254e-08,8.471000001453177e-08,0,0,0,0,0,0,0,0,50880960,0,41437009,9443951,33193757,41925969,33147220,34243,33181463,0,0,0,NOT AVAILABLE,exact_weighted_empirical_linear
loss,margin,margin,,,,,,50880960,32752702,0.643712343477796,50880960,50880960,8.968999998248961e-08,2.9600000006624327e-08,6.61360000098199e-08,7.819000003017607e-08,8.55999999771484e-08,0,0,0,0,0,0,0,0,50880960,0,37983377,12897583,32773886,46900025,32700358,52344,32752702,0,0,0,NOT AVAILABLE,exact_weighted_empirical_linear
model,BiLSTM-ERM,,,BiLSTM-ERM,,,,50880960,32621712,0.6411379030584329,50880960,50880960,8.968999998248961e-08,2.9999999928698173e-08,6.000000007944095e-08,7.469999996345678e-08,8.37000000419863e-08,0,0,0,0,0,0,0,0,50880960,0,42410361,8470599,32633436,40382218,32603295,18417,32621712,0,0,0,NOT AVAILABLE,exact_weighted_empirical_linear
model,CAT-AD,,,CAT-AD,,,,50880960,33312453,0.6547135313484651,50880960,50880960,8.968999998248961e-08,2.98000000231724e-08,6.68999999842157e-08,7.882399999381562e-08,8.590000000197051e-08,0,0,0,0,0,0,0,0,50880960,0,37010025,13870935,33334207,48443776,33244283,68170,33312453,0,0,0,NOT AVAILABLE,exact_weighted_empirical_linear
attack_family,norm_pgd,,,,norm_pgd,,,25440480,16480744,0.6478157644824312,25440480,25440480,8.960999997587038e-08,2.9999999928698173e-08,6.329999990839497e-08,7.69299999259232e-08,8.526552093790654e-08,0,0,0,0,0,0,0,0,25440480,0,19860059,5580421,16489116,22202495,16459524,21220,16480744,0,0,0,NOT AVAILABLE,exact_weighted_empirical_linear
attack_family,phys_hybrid_pgd,,,,phys_hybrid_pgd,,,25440480,16484977,0.6479821528524619,25440480,25440480,8.968999998248961e-08,2.9999999928698173e-08,6.330000001941727e-08,7.697900006320424e-08,8.528999995149888e-08,0,0,0,0,0,0,0,0,25440480,0,19851660,5588820,16493382,22203733,16463261,21716,16484977,0,0,0,NOT AVAILABLE,exact_weighted_empirical_linear
attack_family,phys_penalty_pgd,,,,phys_penalty_pgd,,,25440480,16481296,0.647837462186248,25440480,25440480,8.968999998248961e-08,2.9999999928698173e-08,6.321000001197064e-08,7.691799996933923e-08,8.524999994818927e-08,0,0,0,0,0,0,0,0,25440480,0,19864208,5576272,16489548,22198742,16459465,21831,16481296,0,0,0,NOT AVAILABLE,exact_weighted_empirical_linear
attack_family,phys_projection_pgd,,,,phys_projection_pgd,,,25440480,16487148,0.6480674892926549,25440480,25440480,8.968999998248961e-08,2.9999999928698173e-08,6.329999990839497e-08,7.694620998810554e-08,8.525852092389366e-08,0,0,0,0,0,0,0,0,25440480,0,19844459,5596021,16495597,22221024,16465328,21820,16487148,0,0,0,NOT AVAILABLE,exact_weighted_empirical_linear
K,20,,,,,20,,29680560,19381744,0.653011398706763,29680560,29680560,8.968999998248961e-08,2.9999999928698173e-08,6.426999998865313e-08,7.75690000465179e-08,8.548000007824186e-08,0,0,0,0,0,0,0,0,29680560,0,22798772,6881788,19390316,26547023,19352392,29352,19381744,0,0,0,NOT AVAILABLE,exact_weighted_empirical_linear
